row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
1202,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.524,0.041,0.224,0.146,0.504,0.246,0.199,0.006,0.003,0.98,0.003,0.008,0.1216350947,0.4965104686,0.2392821535,0.1425722832,12,9,0.343,0.287,0.124,0.08,,0.313,9,,,,3719,a,14
1203,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.489,0.053,0.178,0.047,0.531,0.225,0.164,0.049,0.293,0.61,0.005,0.027,0.1181818182,0.2909090909,0.2898989899,0.301010101,12,11,0.263,0.188,0.111,0.098,0.173,0.256,14,8.13,6,1119,899,b,20.4
1204,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.529,0.04,0.283,0.101,0.484,0.304,0.104,0.519,0.02,0.431,0.014,0.009,0.3047520661,0.2303719008,0.2882231405,0.1766528926,19,6,0.331,0.175,0.09,0.074,0.146,0.296,12,,20.49,2319,2040,a,12.2
1206,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.364,0.069,0.258,0.095,0.483,0.219,0.189,0.008,0.033,0.927,0.009,0.009,0.1799410029,0.4355948869,0.2566371681,0.127826942,12,12,0.342,0.303,0.101,0.075,0.12,0.362,10,,34.94,6909,2160,b,21.4
1209,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.267,0.108,0.234,0.061,0.508,0.217,0.166,0.015,0,0.976,0.006,0,0.3242698892,0.3393756294,0.1681772407,0.1681772407,12,10,0.328,0.408,0.137,0.107,,0.324,13,,30.08,,,a,42.1
1211,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.465,0.032,0.209,0.13,0.511,0.238,0.187,0.21,0.004,0.757,0.007,0.017,0.09970384995,0.2152023692,0.2872655479,0.397828233,9,8,0.264,0.127,0.105,0.067,0.17,0.201,9,,17.54,1339,1490,a,7.9
1212,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.494,0.051,0.179,0.073,0.502,0.217,0.186,0.016,0.061,0.896,0.003,0.016,0.1194029851,0.3174129353,0.3004975124,0.2626865672,9,9,0.264,0.188,0.098,0.082,0.17,0.293,13,,14.78,6979,1530,b,9.7
1213,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.383,0.077,0.231,0.07,0.507,0.238,0.159,0.007,0,0.974,0.004,0,0.2514910537,0.4403578529,0.2097415507,0.09840954274,11,11,0.327,0.24,0.136,0.101,,0.367,14,,26.16,6360,4780,a,24.5
1215,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.502,0.049,0.137,0.041,0.519,0.219,0.158,0.053,0.101,0.772,0.004,0.041,0.1036525173,0.2991115499,0.2931885489,0.304047384,11,10,0.269,0.19,0.11,0.084,0.152,0.256,11,3.51,5.82,1360,1340,b,13.7
1216,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.502,0.066,0.23,0.115,0.503,0.214,0.206,0.205,0.003,0.649,0.122,0.014,0.1245059289,0.3102766798,0.3270750988,0.2381422925,12,8,0.231,,0.104,0.092,,0.152,11,,14.48,1309,1080,a,12.3
1219,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.445,0.057,0.287,0.111,0.501,0.183,0.25,0.321,0.012,0.641,0.037,0,0.1201201201,0.2652652653,0.3283283283,0.2862862863,10,10,0.211,0.222,0.089,0.119,0.186,0.239,9,,17.15,2869,1690,a,17.9
1223,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.58,0.035,0.225,0.156,0.492,0.189,0.228,0.024,0.003,0.95,0.022,0.02,0.08308308308,0.3063063063,0.4004004004,0.2102102102,10,18,0.273,0.133,0.091,,0.18,0.312,10,,,3660,3459,b,9.6
1225,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.663,0.057,0.212,0.14,0.403,0.163,0.145,0.131,0,0.838,0,0.011,0.07035175879,0.3386934673,0.3045226131,0.2864321608,10,4,0.213,,0.056,,,0.193,11,,,,,b,14.6
1226,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.537,0.032,0.159,0.062,0.498,0.238,0.18,0.064,0.01,0.882,0.009,0.007,0.1092184369,0.2625250501,0.3657314629,0.2625250501,15,9,0.322,0.184,0.098,0.067,0.1,0.232,11,,13.76,1639,1209,a,10.7
1228,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.445,0.052,0.233,0.113,0.494,0.269,0.132,0.015,0.009,0.952,0.011,0.001,0.1397423191,0.4023785927,0.2973240833,0.160555005,15,9,0.328,0.179,0.113,0.064,,0.278,10,,18.51,3639,6049,a,18.9
1231,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.705,0.031,0.316,0.171,0.316,0.13,0.051,0.149,0.072,0.285,0.139,0.317,0.1608040201,0.3728643216,0.3226130653,0.143718593,5,1,0.329,0.258,0.074,0.048,0.265,0.217,,,,1370,2770,a,8.8
1233,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.408,0.066,0.21,0.061,0.519,0.224,0.189,0.007,0.108,0.85,0.014,0.003,0.2210109019,0.3686818632,0.2933597621,0.1169474727,10,14,0.326,0.263,0.155,0.105,,0.355,12,,26.36,4739,14250,a,25.6
1234,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.374,0.087,0.298,0.092,0.506,0.211,0.238,0.016,0.006,0.963,0.007,0.008,0.2024169184,0.3635448137,0.2779456193,0.1560926485,9,13,0.34,0.265,0.132,0.101,,0.33,12,,24.8,4270,1799,b,24.6
1238,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.426,0.089,0.167,0.03,0.516,0.231,0.193,0.016,0.059,0.901,0.016,0.001,0.1791338583,0.3228346457,0.3513779528,0.1466535433,11,12,0.341,0.279,0.104,0.089,,0.3,14,,21.21,2579,5140,b,20.2
1239,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.39,0.056,0.281,0.109,0.494,0.221,0.177,0.048,0.032,0.712,0.15,0.003,0.1472945892,0.3657314629,0.3186372745,0.1683366733,12,13,0.332,0.275,0.135,0.088,0.143,0.349,10,7,28.58,2350,1550,a,17.1
1242,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.377,0.095,0.261,0.158,0.501,0.282,0.154,0.107,0.012,0.426,0.442,0.003,0.18,0.293,0.379,0.148,15,9,0.309,0.175,0.127,0.082,0.113,0.242,10,11.2,38.55,1650,1420,a,28.4
1243,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.499,0.079,0.178,0.04,0.514,0.251,0.135,0.088,0.158,0.73,0.003,0.006,0.1224696356,0.3350202429,0.3481781377,0.1943319838,12,10,0.336,0.28,0.093,0.085,0.135,0.274,13,3.61,13.45,2560,2030,b,14.8
1245,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.543,0.04,0.136,0.038,0.51,0.191,0.16,0.024,0.014,0.904,0.009,0.02,0.053,0.246,0.276,0.425,10,9,0.219,0.134,0.08,0.057,0.193,0.155,10,2.2,7.09,1230,639,a,11.3
1247,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.427,0.042,0.287,0.206,0.502,0.172,0.239,0.176,0.005,0.79,0.016,0.016,0.1450151057,0.2839879154,0.3434038268,0.2275931521,8,10,0.292,0.218,0.125,0.092,,0.293,9,,28.8,6860,4100,a,14.2
1248,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.449,0.061,0.13,0.039,0.448,0.187,0.14,0.03,0.062,0.9,0.006,0.009,0.1210898083,0.4066599395,0.3087790111,0.1634712412,9,8,0.283,0.174,0.097,0.061,0.192,0.254,13,,13.53,3189,2319,a,13.9
1249,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.482,0.08,0.186,0.076,0.502,0.196,0.224,0.027,0.003,0.773,0.165,0.01,0.09136047666,0.3515392254,0.3277060576,0.2293942403,10,12,0.29,0.263,0.105,0.059,0.262,0.236,11,,25.67,1270,920,a,15.5
1250,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.426,0.064,0.295,0.143,0.51,0.256,0.185,0.237,0.103,0.658,0.015,0.009,0.1826437941,0.3763874874,0.2724520686,0.1685166498,13,12,0.306,0.212,0.125,0.083,,0.311,9,4.72,31.45,4910,3079,b,18.7
1251,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.384,0.09,0.205,0.065,0.426,0.178,0.191,0.018,0.117,0.804,0.041,0.005,0.1201588878,0.4389275074,0.3167825223,0.1241310824,8,11,0.344,,0.122,0.088,0.277,0.227,10,,24.45,2559,820,b,20.8
1253,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.369,0.124,0.26,0.055,0.497,0.198,0.203,0.012,0,0.968,0,0.014,0.2347140039,0.4822485207,0.1725838264,0.1104536489,9,11,0.356,0.472,0.156,0.102,0.158,0.367,13,,26.32,3780,3799,a,19.8
1254,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.52,0.041,0.138,0.05,0.504,0.231,0.152,0.182,0.073,0.693,0.015,0.039,0.1061061061,0.2922922923,0.2632632633,0.3383383383,10,8,0.218,0.183,0.07,0.082,0.183,0.226,10,2.8,9.37,1289,1339,a,7.7
1255,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.422,0.073,0.304,0.124,0.467,0.215,0.184,0.037,0.05,0.652,0.179,0.012,0.2085020243,0.3775303644,0.2965587045,0.1174089069,11,13,0.361,0.365,0.141,0.072,,0.348,10,,35.53,2759,2760,a,20.7
1256,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.56,0.036,0.127,0.078,0.501,0.239,0.166,0.12,0.034,0.84,0.006,0.004,0.1104417671,0.2771084337,0.3835341365,0.2289156627,14,10,0.281,0.212,0.087,0.067,0.096,0.235,13,,12.95,1510,880,a,10.9
1259,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.445,0.048,0.178,0.051,0.484,0.235,0.157,0.04,0.029,0.921,0.008,0.002,0.1183013145,0.4155712841,0.3296258847,0.1365015167,12,10,0.345,0.146,0.111,0.081,0.15,0.246,13,,14.65,1980,2300,a,15.6
1261,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.508,0.042,0.124,0.046,0.51,0.233,0.142,0.05,0.021,0.906,0.008,0.018,0.06972111554,0.2778884462,0.3605577689,0.2918326693,10,8,0.35,0.159,0.108,0.077,0.177,0.223,12,,7.08,3649,2450,a,11.1
1262,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.478,0.042,0.06,0.021,0.498,0.224,0.166,0.171,0.008,0.742,0.007,0.064,0.03084577114,0.1134328358,0.2189054726,0.6368159204,9,6,0.201,0.09,0.066,0.102,0.117,0.147,10,,,979,550,a,4.5
1263,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.589,0.029,0.18,0.087,0.503,0.227,0.24,0.008,0,0.955,0.026,0,0.1407185629,0.4081836327,0.2584830339,0.1926147705,13,16,0.292,0.122,0.099,,0.159,0.341,12,,,3139,2969,b,11.1
1266,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.516,0.06,0.182,0.07,0.507,0.224,0.122,0.192,0.087,0.482,0.008,0.231,0.1056910569,0.2611788618,0.2144308943,0.418699187,11,7,0.234,0.122,0.092,0.075,0.127,0.264,11,1.91,5.4,1300,1070,b,8.9
1268,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.371,0.105,0.251,0.104,0.505,0.2,0.177,0.018,0.411,0.553,0,0.003,0.3134479272,0.3892821031,0.2002022245,0.0970677452,10,14,0.322,,0.152,0.131,,0.314,13,,40.16,,8769,b,27.5
1271,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.522,0.032,0.158,0.077,0.498,0.265,0.146,0.153,0.015,0.824,0.005,0.002,0.118762475,0.3183632735,0.3612774451,0.2015968064,15,8,0.292,0.16,0.073,0.047,0.224,0.243,11,,16.44,2320,1919,a,8.8
1277,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.524,0.062,0.21,0.059,0.504,0.234,0.136,0.061,0.06,0.863,0.001,0.02,0.128968254,0.3650793651,0.3005952381,0.2053571429,13,11,0.39,0.268,0.125,0.079,0.157,0.298,9,3.56,13.67,1879,1459,b,17.3
1278,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.424,0.073,0.231,0.074,0.506,0.191,0.226,0.043,0.007,0.936,0,0.013,0.1931931932,0.3353353353,0.3033033033,0.1681681682,9,12,0.289,0.254,0.113,0.098,,0.289,13,,24.5,2219,1100,b,19.9
1282,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Mining-dependent,0.508,0.031,0.334,0.194,0.503,0.269,0.16,0.61,0,0.382,0.004,0.001,0.2509920635,0.2797619048,0.2648809524,0.2043650794,14,7,0.294,,0.102,0.078,,0.267,10,,,3960,1330,b,13.5
1283,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.556,0.056,0.189,0.121,0.492,0.147,0.306,0.009,0,0.967,0.003,0.002,0.1338100102,0.3718079673,0.342185904,0.1521961185,5,8,0.297,0.152,0.116,,,0.302,10,,,,,b,16.8
1284,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.454,0.054,0.172,0.089,0.514,0.228,0.191,0.014,0.008,0.969,0.002,0,0.1859296482,0.5025125628,0.1969849246,0.1145728643,12,11,0.294,0.158,0.1,0.075,0.109,0.262,13,,15.58,3379,2229,b,17.5
1285,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.552,0.048,0.143,0.062,0.506,0.224,0.194,0.016,0.007,0.971,0.002,0,0.09428284855,0.4322968907,0.3239719157,0.149448345,13,11,0.334,0.235,0.087,0.078,0.224,0.266,10,,18.99,5259,,b,14.1
1288,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.374,0.073,0.285,0.095,0.512,0.292,0.085,0.119,0.329,0.412,0.102,0.015,0.1504513541,0.2688064193,0.3831494483,0.1975927783,19,6,0.342,0.201,0.124,0.093,0.111,0.294,12,8.5,27.19,10259,16840,a,19.6
1294,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.419,0.061,0.168,0.068,0.449,0.183,0.191,0.007,0.038,0.944,0,0.008,0.1422845691,0.3947895792,0.3196392786,0.1432865731,8,12,0.308,,0.118,0.1,,0.259,13,,33.38,1680,,a,13.5
1298,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.43,0.077,0.236,0.047,0.513,0.224,0.15,0.029,0.292,0.661,0,0.006,0.2832832833,0.3913913914,0.2212212212,0.1041041041,11,10,0.33,0.2,0.113,0.125,0.114,0.294,11,6.8,29.33,7719,11510,a,15.9
1299,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.411,0.035,0.277,0.118,0.526,0.217,0.2,0.006,0.002,0.984,0.001,0,0.2130177515,0.2238658777,0.3481262327,0.2149901381,9,11,0.268,,0.077,,0.222,0.342,12,,,2790,800,b,19.2
1303,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.45,0.049,0.23,0.114,0.495,0.312,0.156,0.037,0.004,0.926,0.008,0.005,0.09375,0.3366935484,0.4032258065,0.1663306452,15,11,0.291,0.123,0.093,0.093,0.093,0.223,11,,18.44,1399,1899,b,12.8
1304,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.45,0.046,0.126,0.047,0.478,0.204,0.225,0.022,0.014,0.946,0.01,0,0.08043694141,0.3723932473,0.364448858,0.1827209533,11,13,0.307,0.225,0.102,0.071,0.273,0.228,11,,23.26,1980,1229,a,11.8
1307,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.475,0.038,0.262,0.116,0.502,0.293,0.145,0.049,0.007,0.924,0.01,0,0.2492581602,0.3728981207,0.2383778437,0.1394658754,17,10,0.319,0.231,0.12,0.063,0.156,0.313,14,,17.7,4049,2290,a,13.6
1308,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.526,0.049,0.089,0.04,0.497,0.213,0.151,0.056,0.027,0.881,0,0.029,0.0499001996,0.2245508982,0.2315369261,0.494011976,7,7,0.199,0.122,0.072,0.069,0.186,0.189,11,,4.79,1309,830,b,4.9
1309,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.455,0.041,0.188,0.116,0.491,0.363,0.1,0.038,0,0.932,0.014,0.007,0.09734513274,0.3500491642,0.3972468043,0.1553588987,19,9,0.297,0.125,0.071,0.063,,0.21,13,,23.88,2609,1720,b,10.5
1311,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.564,0.048,0.159,0.086,0.491,0.251,0.163,0.038,0.002,0.947,0,0.008,0.1135241856,0.4096742349,0.3000987167,0.1767028628,13,8,0.304,0.08,0.092,0.063,0.186,0.198,12,,28.86,3390,3359,b,11.8
1312,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.387,0.075,0.199,0.048,0.471,0.2,0.173,0.007,0.023,0.963,0,0,0.1195219124,0.4960159363,0.2559760956,0.1284860558,9,9,0.308,0.233,0.124,0.083,,0.315,13,,20.46,2050,2530,b,15.3
1314,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.482,0.042,0.42,0.194,0.486,0.308,0.133,0.612,0.018,0.366,0.015,0.006,0.3,0.3272727273,0.2333333333,0.1393939394,16,8,0.284,,0.099,0.078,,0.288,9,,36.33,8219,2699,b,19.5
1319,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.535,0.039,0.143,0.051,0.511,0.219,0.183,0.039,0.011,0.921,0.008,0.004,0.06188605108,0.3222003929,0.3605108055,0.2554027505,14,12,0.329,0.178,0.088,0.079,0.176,0.262,11,,9.27,1600,1239,b,10.6
1320,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.522,0.047,0.262,0.124,0.501,0.194,0.197,0.035,0.01,0.953,0.018,0.009,0.04540967423,0.3188548865,0.2833168806,0.3524185587,9,9,0.232,0.136,0.064,0.068,0.159,0.202,11,,19.03,1560,909,a,11.8
1322,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.486,0.053,0.192,0.066,0.508,0.229,0.151,0.047,0.03,0.885,0.014,0.003,0.1042084168,0.2785571142,0.3286573146,0.2885771543,13,10,0.36,0.198,0.103,0.088,0.156,0.273,8,,21.68,2410,1560,b,19.8
1323,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.472,0.063,0.194,0.061,0.513,0.218,0.156,0.053,0.2,0.723,0,0.024,0.1224899598,0.2771084337,0.313253012,0.2871485944,12,10,0.296,0.201,0.118,0.107,0.105,0.286,13,6.2,12.09,1440,940,a,14.8
1325,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.462,0.055,0.163,0.062,0.51,0.207,0.195,0.016,0.01,0.947,0.008,0.003,0.1007984032,0.4091816367,0.3113772455,0.1786427146,9,12,0.323,0.195,0.119,0.065,0.113,0.303,13,,12.68,2449,1329,a,14.9
1328,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.474,0.048,0.222,0.076,0.511,0.195,0.214,0.026,0.084,0.87,0.004,0.006,0.1584258325,0.3158425832,0.3229061554,0.2028254289,9,10,0.291,0.207,0.122,0.082,0.089,0.24,13,3.5,18.1,5120,2349,a,12.8
1329,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.45,0.101,0.166,0.041,0.491,0.231,0.148,0.041,0.01,0.936,0,0.005,0.09390609391,0.3686313686,0.3646353646,0.1728271728,9,9,0.333,0.224,0.101,0.076,0.155,0.265,12,0.9,12.91,2489,2200,b,11.3
1331,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.383,0.08,0.244,0.067,0.507,0.204,0.168,0.039,0.592,0.345,0.01,0.012,0.2046370968,0.3165322581,0.3346774194,0.1441532258,9,17,0.336,0.258,0.14,0.11,,0.336,12,6.3,22.25,2440,2219,a,26.7
1333,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.458,0.078,0.222,0.032,0.538,0.229,0.179,0.004,0.434,0.541,0.014,0.008,0.2284866469,0.3699307616,0.2522255193,0.1493570722,12,13,0.378,0.301,0.166,0.11,0.112,0.374,13,7.2,21.32,4049,2900,a,25.7
1334,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.377,0.073,0.257,0.1,0.505,0.212,0.173,0.762,0.012,0.192,0.043,0.02,0.18555667,0.2898696088,0.332998997,0.1915747242,11,9,0.219,0.241,0.083,0.11,0.15,0.194,10,11.18,31.1,2149,1329,b,25.7
1335,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.505,0.043,0.236,0.073,0.496,0.229,0.127,0.351,0.019,0.425,0.01,0.185,0.157946693,0.1806515301,0.2882527147,0.3731490622,12,6,0.207,0.106,0.079,0.052,0.18,0.155,8,1.4,6.12,980,1060,a,12.9
1336,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.41,0.061,0.293,0.099,0.511,0.255,0.143,0.147,0.016,0.813,0.013,0.009,0.2796442688,0.3537549407,0.2608695652,0.1057312253,12,10,0.331,0.192,0.131,0.092,0.103,0.315,13,1.68,25.35,4219,2849,b,24.5
1338,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.519,0.067,0.117,0.03,0.507,0.232,0.174,0.03,0.023,0.926,0.009,0.008,0.08183632735,0.3612774451,0.3642714571,0.1926147705,11,11,0.306,0.273,0.09,0.067,0.232,0.288,12,,14.35,1910,1749,b,12.3
1340,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.38,0.081,0.238,0.096,0.494,0.168,0.271,0.016,0.004,0.967,0.008,0.004,0.1560077519,0.4447674419,0.2800387597,0.1191860465,8,15,0.344,0.204,0.132,0.08,0.16,0.34,9,,25.54,4799,2379,b,19.1
1343,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.549,0.044,0.192,0.073,0.496,0.249,0.15,0.104,0.041,0.815,0.005,0.012,0.1017293998,0.3387589013,0.3326551373,0.2268565615,14,9,0.32,0.176,0.117,0.073,0.152,0.233,10,5.2,9.35,1739,1159,a,14.8
